Year,Status,Life expectancy,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles,BMI,under-five deaths,Polio,Total expenditure,Diphtheria,HIV/AIDS,GDP,Population,thinness  1-19 years,thinness 5-9 years,Income composition of resources,Schooling
2015.0,0,65.0,263.0,62.0,0.01,71.28,97.5,1154.0,19.1,83.0,9.0,8.16,97.5,0.1,584.26,33736494.0,17.2,17.3,0.48,10.1
2014.0,0,59.9,271.0,64.0,0.01,73.52,93.0,492.0,18.6,86.0,87.0,8.18,93.0,0.1,612.7,327582.0,17.5,17.5,0.48,10.0
2013.0,0,59.9,268.0,66.0,0.01,73.22,96.0,430.0,18.1,89.0,93.0,8.13,96.0,0.1,631.74,31731688.0,17.7,17.7,0.47,9.9
2012.0,0,59.5,272.0,69.0,0.01,78.18,100.5,2787.0,17.6,93.0,100.5,8.52,100.5,0.1,669.96,3696958.0,17.9,18.0,0.46,9.8
2011.0,0,59.2,275.0,71.0,0.01,7.1,102.0,3013.0,17.2,97.0,102.0,7.87,102.0,0.1,63.54,2978599.0,18.2,18.2,0.45,9.5
2010.0,0,58.8,279.0,74.0,0.01,79.68,99.0,1989.0,16.7,102.0,99.0,9.2,99.0,0.1,553.33,2883167.0,18.4,18.4,0.45,9.2
2009.0,0,58.6,281.0,77.0,0.01,56.76,94.5,2861.0,16.2,106.0,94.5,9.42,94.5,0.1,445.89,284331.0,18.6,18.7,0.43,8.9
2008.0,0,58.1,287.0,80.0,0.03,25.87,96.0,1599.0,15.7,110.0,96.0,8.33,96.0,0.1,373.36,2729431.0,18.8,18.9,0.43,8.7
2007.0,0,57.5,295.0,82.0,0.02,10.91,94.5,1141.0,15.2,113.0,94.5,6.73,94.5,0.1,369.84,26616792.0,19.0,19.1,0.42,8.4
2006.0,0,57.3,295.0,84.0,0.03,17.17,96.0,1990.0,14.7,116.0,87.0,7.43,87.0,0.1,272.56,2589345.0,19.2,19.3,0.4,8.1
2005.0,0,57.3,291.0,85.0,0.02,1.39,99.0,1296.0,14.2,118.0,87.0,8.7,87.0,0.1,25.29,257798.0,19.3,19.5,0.4,7.9
2004.0,0,57.0,293.0,87.0,0.02,15.3,100.5,466.0,13.8,120.0,7.5,8.79,7.5,0.1,219.14,24118979.0,19.5,19.7,0.38,6.8
2003.0,0,56.7,295.0,87.0,0.01,11.09,97.5,798.0,13.4,122.0,61.5,8.82,61.5,0.1,198.73,2364851.0,19.7,19.9,0.37,6.5
2002.0,0,56.2,267.4323493732309,88.0,0.01,16.89,96.0,2486.0,13.0,122.0,54.0,7.76,54.0,0.1,187.85,21979923.0,19.9,2.2,0.34,6.2
2001.0,0,55.3,316.0,88.0,0.01,10.57,94.5,8762.0,12.6,122.0,52.5,7.8,49.5,0.1,117.5,2966463.0,2.1,2.4,0.34,5.9
2000.0,0,54.8,321.0,88.0,0.01,10.42,93.0,6532.0,12.2,122.0,36.0,8.2,36.0,0.1,114.56,293756.0,2.3,2.5,0.34,5.5
2015.0,0,77.8,74.0,0.0,4.6,364.98,148.5,0.0,58.0,0.7993675811213086,148.5,6.0,148.5,0.1,3954.23,28873.0,1.2,1.3,0.76,14.2
2014.0,0,77.5,8.0,0.0,4.51,428.75,147.0,0.0,57.2,1.0,147.0,5.88,147.0,0.1,4575.76,288914.0,1.2,1.3,0.76,14.2
2013.0,0,77.2,84.0,0.0,4.76,430.88,148.5,0.0,56.5,1.0,148.5,5.66,148.5,0.1,4414.72,289592.0,1.3,1.4,0.76,14.2
2012.0,0,76.9,86.0,0.0,5.14,412.44,148.5,9.0,55.8,1.0,148.5,5.59,148.5,0.1,4247.61,2941.0,1.3,1.4,0.75,14.2
2011.0,0,76.6,88.0,0.0,5.37,437.06,148.5,28.0,55.1,1.0,148.5,5.71,148.5,0.1,4437.18,295195.0,1.4,1.5,0.74,13.3
2010.0,0,76.2,91.0,1.0,5.28,41.82,148.5,10.0,54.3,1.0,148.5,5.34,148.5,0.1,494.36,291321.0,1.4,1.5,0.72,12.5
2009.0,0,76.1,91.0,1.0,5.79,348.06,147.0,0.0,53.5,1.0,147.0,5.79,147.0,0.1,4114.14,2927519.0,1.5,1.6,0.72,12.2
2008.0,0,75.3,1.0,1.0,5.61,36.62,148.5,0.0,52.6,1.0,148.5,5.87,148.5,0.1,437.54,2947314.0,1.6,1.6,0.71,12.0
2007.0,0,75.9,9.0,1.0,5.58,32.25,147.0,22.0,51.7,1.0,148.5,6.1,147.0,0.1,363.14,29717.0,1.6,1.7,0.7,11.6
2006.0,0,74.2,99.0,1.0,5.31,3.3,147.0,68.0,46.182424437060746,1.0,145.5,5.86,145.5,0.1,35.13,2992547.0,1.7,1.8,0.7,11.4
2005.0,0,73.5,15.0,1.0,5.16,26.99,147.0,6.0,49.9,1.0,145.5,6.12,147.0,0.1,279.14,311487.0,1.8,1.8,0.68,10.8
2004.0,0,73.0,17.0,1.0,4.54,221.84,148.5,7.0,48.9,1.0,147.0,6.38,145.5,0.1,2416.59,326939.0,1.8,1.9,0.68,10.9
